sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10351,Billeroy,NSW,31.0,550.03,0.0,0.0,0.0
SAL10352,Billilingra,NSW,7.0,99.29,0.0,0.0,0.0
SAL10353,Billimari,NSW,117.0,93.22,220.0,220.0,220.0
SAL10354,Billinudgel,NSW,261.0,11.11,289.0,289.0,289.0
SAL10355,Billys Creek,NSW,79.0,107.44,225.0,225.0,225.0
SAL10356,Billywillinga,NSW,196.0,73.98,200.0,200.0,200.0
SAL10357,Bilpin,NSW,653.0,259.11,410.0,410.0,410.0
SAL10358,Bimberi,NSW,0.0,322.97,0.0,0.0,0.0
SAL10359,Bimbi,NSW,71.0,287.83,130.0,130.0,130.0
SAL10360,Bimbimbie,NSW,113.0,13.85,0.0,0.0,0.0
